Player,Nation,POS,Age,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Team
Drake Callender,USA,GK,26,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Inter Miami
Julian Gressel,USA,MF,30,15.0,42.0,2.81,32.0,6.0,0.0,2.0,1.0,1.0,6.0,0.4,5.0,1.0,0.0,0.0,0.0,0.0,Inter Miami
Tomás Avilés,ARG,DF,20,16.0,6.0,0.37,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,Inter Miami
Sergio Busquets,ESP,MF,35,16.6,32.0,1.93,29.0,1.0,0.0,0.0,0.0,2.0,7.0,0.42,6.0,1.0,0.0,0.0,0.0,0.0,Inter Miami
Robert Taylor,FIN,FW,29,12.1,37.0,3.07,28.0,4.0,3.0,0.0,1.0,1.0,6.0,0.5,4.0,0.0,2.0,0.0,0.0,0.0,Inter Miami
Luis Suárez,URU,FW,37,12.8,44.0,3.43,31.0,2.0,4.0,2.0,5.0,0.0,12.0,0.94,6.0,0.0,2.0,2.0,2.0,0.0,Inter Miami
Jordi Alba,ESP,DF,35,12.6,40.0,3.18,37.0,2.0,0.0,1.0,0.0,0.0,5.0,0.4,4.0,0.0,0.0,1.0,0.0,0.0,Inter Miami
Marcelo Weigandt,ARG,DF,24,12.4,18.0,1.45,13.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Inter Miami
Lionel Messi,ARG,FW,36,11.5,74.0,6.43,45.0,7.0,10.0,4.0,7.0,1.0,20.0,1.74,16.0,1.0,2.0,1.0,0.0,0.0,Inter Miami
Serhiy Kryvtsov,UKR,DF,33,9.5,2.0,0.21,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Inter Miami
David Ruiz,HON,MF,20,9.5,14.0,1.48,12.0,0.0,1.0,0.0,1.0,0.0,3.0,0.32,3.0,0.0,0.0,0.0,0.0,0.0,Inter Miami
Nicolás Freire,ARG,DF,30,8.2,4.0,0.49,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Inter Miami
Leonardo Campana,ECU,FW,23,7.3,10.0,1.36,8.0,0.0,1.0,1.0,0.0,0.0,2.0,0.27,2.0,0.0,0.0,0.0,0.0,0.0,Inter Miami
Diego Gómez,PAR,MF,21,7.0,25.0,3.55,22.0,0.0,2.0,0.0,0.0,1.0,6.0,0.85,6.0,0.0,0.0,0.0,0.0,0.0,Inter Miami
