Player,Nation,POS,Age,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Clr,Err,Unnamed: 21_level_0_Matches,Team
Drake Callender,USA,GK,26,21.0,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,9,1,Matches,Inter Miami
Julian Gressel,USA,MF,30,18.0,20,11,8,10,2,9,24,37.5,15,12,4,8,11,31,9,2,Matches,Inter Miami
Sergio Busquets,ESP,MF,35,19.6,45,27,16,23,6,28,52,53.8,24,32,9,23,15,60,28,2,Matches,Inter Miami
Tomás Avilés,ARG,DF,20,17.0,34,20,26,6,2,13,26,50.0,13,20,12,8,29,63,53,2,Matches,Inter Miami
Robert Taylor,FIN,FW,29,13.8,12,9,5,2,5,3,13,23.1,10,12,0,12,11,23,4,0,Matches,Inter Miami
Jordi Alba,ESP,DF,35,15.6,18,11,8,8,2,8,24,33.3,16,14,5,9,9,27,25,1,Matches,Inter Miami
Marcelo Weigandt,ARG,DF,24,13.4,36,24,24,12,0,24,43,55.8,19,17,6,11,11,47,40,0,Matches,Inter Miami
Luis Suárez,URU,FW,37,12.8,2,1,1,1,0,0,1,0.0,1,2,0,2,2,4,8,0,Matches,Inter Miami
Serhiy Kryvtsov,UKR,DF,33,12.0,8,4,6,2,0,5,14,35.7,9,26,20,6,18,26,51,1,Matches,Inter Miami
Lionel Messi,ARG,FW,37,11.5,12,5,0,5,7,4,5,80.0,1,4,0,4,2,14,0,0,Matches,Inter Miami
Leonardo Campana,ECU,FW,23,10.2,9,7,0,6,3,3,9,33.3,6,9,1,8,1,10,8,0,Matches,Inter Miami
David Ruiz,HON,MF,20,9.5,26,21,14,11,1,13,33,39.4,20,13,3,10,12,38,11,1,Matches,Inter Miami
Diego Gómez,PAR,MF,21,8.9,33,19,10,18,5,16,35,45.7,19,19,1,18,11,44,5,1,Matches,Inter Miami
Nicolás Freire,ARG,DF,30,8.2,9,4,8,1,0,7,11,63.6,4,16,9,7,13,22,41,0,Matches,Inter Miami
Ben Cremaschi,USA,MF,19,8.4,15,12,6,7,2,7,16,43.8,9,9,2,7,13,28,9,0,Matches,Inter Miami
Franco Negri,ARG,DF,29,5.8,14,10,11,1,2,10,15,66.7,5,9,2,7,13,27,18,0,Matches,Inter Miami
Matías Rojas,PAR,FW,28,5.5,11,6,5,5,1,4,8,50.0,4,6,1,5,2,13,1,0,Matches,Inter Miami
Noah Allen,USA,DF,20,5.4,12,8,11,1,0,6,11,54.5,5,3,1,2,4,16,12,0,Matches,Inter Miami
Federico Redondo,ARG,MF,21,4.3,9,7,4,5,0,5,7,71.4,2,6,1,5,1,10,3,0,Matches,Inter Miami
Yannick Bright,ITA,MF,22,5.3,11,6,3,7,1,7,20,35.0,13,10,5,5,17,28,19,0,Matches,Inter Miami
DeAndre Yedlin,USA,DF,30,3.0,6,2,3,3,0,3,7,42.9,4,4,1,3,7,13,11,0,Matches,Inter Miami
Lawson Sunderland,USA,MF,22,2.1,4,3,1,3,0,1,4,25.0,3,6,1,5,3,7,1,0,Matches,Inter Miami
Ryan Sailor,USA,DF,25,3.4,3,2,3,0,0,2,2,100.0,0,2,2,0,4,7,16,1,Matches,Inter Miami
Ian Fray,USA,DF,21,1.5,6,4,4,1,1,2,5,40.0,3,2,1,1,5,11,2,0,Matches,Inter Miami
Leonardo Afonso,BRA,FW,22,2.4,8,6,5,2,1,2,6,33.3,4,2,0,2,5,13,2,0,Matches,Inter Miami
Shanyder Borgelin,HAI,FW,22,1.5,2,2,1,1,0,0,1,0.0,1,0,0,0,0,2,3,0,Matches,Inter Miami
C.J. dos Santos,USA,GK,23,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,Inter Miami
Jose Casas de Abadal,USA,FW,24,0.3,2,1,0,1,1,0,1,0.0,1,0,0,0,0,2,0,0,Matches,Inter Miami
Jean Mota,BRA,MF,30,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,Inter Miami
Pavel Bucha,CZE,MF,26,20.7,30,20,9,18,3,18,39,46.2,21,30,9,21,27,57,17,0,Matches,FC Cincinnati
Luciano Acosta,ARG,MF,30,20.1,29,20,10,16,3,14,26,53.8,12,20,0,20,10,39,4,0,Matches,FC Cincinnati
Luca Orellano,ARG,DF,24,18.4,30,17,21,6,3,19,37,51.4,18,17,1,16,5,35,23,2,Matches,FC Cincinnati
Roman Celentano,USA,GK,23,17.0,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,7,0,Matches,FC Cincinnati
Obinna Nwobodo,NGA,MF,27,15.7,45,33,21,21,3,14,28,50.0,14,21,9,12,33,78,22,0,Matches,FC Cincinnati
Matt Miazga,USA,DF,28,15.7,23,11,19,3,1,12,18,66.7,6,18,13,5,12,35,76,1,Matches,FC Cincinnati
Ian Murphy,USA,DF,24,16.2,27,18,15,12,0,12,20,60.0,8,17,8,9,20,47,52,0,Matches,FC Cincinnati
Yuya Kubo,JPN,FW,30,15.5,40,24,14,17,9,23,34,67.6,11,14,3,11,13,53,16,1,Matches,FC Cincinnati
Miles Robinson,USA,DF,27,15.0,23,17,13,9,1,12,16,75.0,4,19,7,12,18,41,65,0,Matches,FC Cincinnati
DeAndre Yedlin,USA,DF,30,13.4,24,14,12,10,2,13,25,52.0,12,15,4,11,13,37,31,0,Matches,FC Cincinnati
Corey Baird,USA,FW,28,9.0,7,2,6,1,0,3,9,33.3,6,4,0,4,1,8,5,0,Matches,FC Cincinnati
Gerardo Valenzuela,USA,FW,20,7.8,22,15,3,13,6,9,17,52.9,8,11,2,9,4,26,8,0,Matches,FC Cincinnati
Kevin Kelsy,VEN,FW,19,7.4,4,2,1,1,2,1,1,100.0,0,7,0,7,3,7,4,0,Matches,FC Cincinnati
Kipp Keller,USA,DF,23,6.9,8,8,6,2,0,5,6,83.3,1,13,11,2,8,16,29,0,Matches,FC Cincinnati
Nick Hagglund,USA,DF,31,5.1,5,5,4,1,0,4,5,80.0,1,4,2,2,9,14,23,0,Matches,FC Cincinnati
