Player,Nation,POS,Age,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 27_level_0_Matches,Team
Drake Callender,USA,GK,26,18.0,622.0,579.0,621.0,1.0,0.0,0.0,622.0,0.0,0.0,,0.0,,335.0,1433.0,811.0,0.0,0.0,0.0,2.0,0.0,299.0,0.0,Matches,Inter Miami
Julian Gressel,USA,MF,30,15.0,877.0,17.0,157.0,473.0,255.0,36.0,877.0,13.0,2.0,15.4,11.0,84.6,504.0,2249.0,1083.0,22.0,18.0,6.0,23.0,9.0,661.0,65.0,Matches,Inter Miami
Tomás Avilés,ARG,DF,20,16.0,1273.0,160.0,705.0,546.0,26.0,8.0,1273.0,7.0,3.0,42.9,4.0,57.1,741.0,3193.0,1830.0,8.0,6.0,0.0,9.0,2.0,966.0,4.0,Matches,Inter Miami
Sergio Busquets,ESP,MF,35,16.6,1472.0,65.0,441.0,876.0,167.0,10.0,1472.0,11.0,6.0,54.5,2.0,18.2,802.0,3395.0,1975.0,12.0,12.0,0.0,12.0,6.0,1083.0,24.0,Matches,Inter Miami
Robert Taylor,FIN,FW,29,12.1,498.0,5.0,84.0,195.0,229.0,37.0,498.0,31.0,15.0,48.4,16.0,51.6,273.0,1861.0,910.0,23.0,22.0,11.0,15.0,2.0,348.0,94.0,Matches,Inter Miami
Luis Suárez,URU,FW,37,12.8,492.0,9.0,20.0,222.0,254.0,66.0,492.0,25.0,9.0,36.0,15.0,60.0,249.0,907.0,344.0,9.0,6.0,8.0,21.0,12.0,403.0,99.0,Matches,Inter Miami
Jordi Alba,ESP,DF,35,12.6,1149.0,46.0,297.0,537.0,326.0,31.0,1149.0,14.0,7.0,50.0,7.0,50.0,631.0,2391.0,1427.0,17.0,24.0,1.0,9.0,2.0,847.0,112.0,Matches,Inter Miami
Marcelo Weigandt,ARG,DF,24,12.4,789.0,65.0,268.0,357.0,169.0,15.0,789.0,18.0,9.0,50.0,6.0,33.3,399.0,1833.0,1048.0,22.0,13.0,3.0,13.0,7.0,482.0,55.0,Matches,Inter Miami
Lionel Messi,ARG,FW,36,11.5,775.0,0.0,37.0,399.0,354.0,61.0,774.0,75.0,39.0,52.0,33.0,44.0,523.0,3098.0,1651.0,48.0,38.0,17.0,17.0,19.0,630.0,87.0,Matches,Inter Miami
Serhiy Kryvtsov,UKR,DF,33,9.5,759.0,126.0,468.0,281.0,12.0,1.0,759.0,1.0,0.0,0.0,1.0,100.0,477.0,2500.0,1312.0,6.0,3.0,0.0,3.0,0.0,558.0,2.0,Matches,Inter Miami
