Player,Nation,POS,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Team
Drake Callender,USA,GK,26,18.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Inter Miami
Julian Gressel,USA,MF,30,15.0,1,17,2,11.8,1.14,0.13,0.06,0.5,19.9,0.0,0,0,1.8,1.8,0.11,-0.8,-0.8,Inter Miami
Tomás Avilés,ARG,DF,20,16.0,0,6,1,16.7,0.37,0.06,0.0,0.0,17.2,0.0,0,0,0.5,0.5,0.08,-0.5,-0.5,Inter Miami
Sergio Busquets,ESP,MF,35,16.6,1,2,2,100.0,0.12,0.12,0.5,0.5,8.8,0.0,0,0,0.3,0.3,0.13,0.7,0.7,Inter Miami
Robert Taylor,FIN,FW,29,12.1,3,13,6,46.2,1.08,0.5,0.23,0.5,17.3,0.0,0,0,1.9,1.9,0.15,1.1,1.1,Inter Miami
Luis Suárez,URU,FW,37,12.8,12,36,26,72.2,2.81,2.03,0.33,0.46,12.8,0.0,0,0,7.6,7.6,0.21,4.4,4.4,Inter Miami
Jordi Alba,ESP,DF,35,12.6,2,9,4,44.4,0.72,0.32,0.22,0.5,18.9,0.0,0,0,1.3,1.3,0.15,0.7,0.7,Inter Miami
Marcelo Weigandt,ARG,DF,24,12.4,0,9,3,33.3,0.73,0.24,0.0,0.0,15.4,0.0,0,0,0.9,0.9,0.1,-0.9,-0.9,Inter Miami
Lionel Messi,ARG,FW,36,11.5,12,57,25,43.9,4.96,2.17,0.19,0.44,19.0,10.0,1,1,8.3,7.5,0.13,3.7,3.5,Inter Miami
Serhiy Kryvtsov,UKR,DF,33,9.5,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Inter Miami
David Ruiz,HON,MF,20,9.5,0,8,1,12.5,0.84,0.11,0.0,0.0,17.3,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,Inter Miami
Nicolás Freire,ARG,DF,30,8.2,0,1,0,0.0,0.12,0.0,0.0,,10.7,0.0,0,0,0.0,0.0,0.05,0.0,0.0,Inter Miami
Leonardo Campana,ECU,FW,23,7.3,4,20,9,45.0,2.73,1.23,0.2,0.44,14.0,1.0,0,0,4.1,4.1,0.21,-0.1,-0.1,Inter Miami
Diego Gómez,PAR,MF,21,7.0,2,9,6,66.7,1.28,0.85,0.22,0.33,15.9,0.0,0,0,0.9,0.9,0.1,1.1,1.1,Inter Miami
Franco Negri,ARG,DF,29,5.8,0,1,0,0.0,0.17,0.0,0.0,,24.4,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Inter Miami
Matías Rojas,PAR,FW,28,5.5,3,11,8,72.7,2.01,1.46,0.27,0.38,30.1,2.0,0,0,0.4,0.4,0.04,2.6,2.6,Inter Miami
Ben Cremaschi,USA,MF,19,5.4,2,10,4,40.0,1.85,0.74,0.2,0.5,13.5,0.0,0,0,2.0,2.0,0.2,0.0,0.0,Inter Miami
Noah Allen,USA,DF,20,4.4,0,1,0,0.0,0.23,0.0,0.0,,10.9,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,Inter Miami
Federico Redondo,ARG,MF,21,3.3,0,4,1,25.0,1.2,0.3,0.0,0.0,25.4,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,Inter Miami
DeAndre Yedlin,USA,DF,30,3.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Inter Miami
Lawson Sunderland,USA,MF,22,2.1,0,1,0,0.0,0.47,0.0,0.0,,24.8,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,Inter Miami
Ryan Sailor,USA,DF,25,2.9,0,2,0,0.0,0.7,0.0,0.0,,9.2,0.0,0,0,0.2,0.2,0.1,-0.2,-0.2,Inter Miami
