Player,Nation,POS,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_PK,Standard_PKatt,Team
Damian Las,USA,GK,22,11.0,0,0,0,,0.0,0.0,,,,0,0,Louisville City
Sean Totsch,USA,DF,32,11.0,2,4,3,75.0,0.36,0.27,0.0,0.0,,2,2,Louisville City
Arturo Ordoñez,ESP,DF,27,10.8,1,11,1,9.1,1.02,0.09,0.09,1.0,,0,0,Louisville City
Elijah Wynder,USA,MF,21,10.4,3,17,6,35.3,1.63,0.58,0.18,0.5,,0,0,Louisville City
Taylor Davila,USA,MF,23,10.3,3,10,3,30.0,0.98,0.29,0.3,1.0,,0,0,Louisville City
Wilson Harris,USA,FW,24,10.0,10,38,21,55.3,3.78,2.09,0.24,0.43,,1,1,Louisville City
Ray Serrano,USA,FW,22,9.9,5,28,15,53.6,2.83,1.52,0.18,0.33,,0,0,Louisville City
Kyle Adams,NZL,DF,27,9.7,0,2,0,0.0,0.21,0.0,0.0,,,0,0,Louisville City
Adrien Perez,USA,FW,28,9.3,2,34,6,17.6,3.66,0.65,0.06,0.33,,0,0,Louisville City
Jake Morris,USA,MF,25,8.2,2,12,2,16.7,1.46,0.24,0.17,1.0,,0,0,Louisville City
Jansen Wilson,USA,MF,22,7.1,2,13,3,23.1,1.83,0.42,0.15,0.67,,0,0,Louisville City
Aiden McFadden,USA,MF,25,5.3,1,3,1,33.3,0.56,0.19,0.33,1.0,,0,0,Louisville City
Jorge González,ESP,FW,25,4.9,2,17,6,35.3,3.49,1.23,0.12,0.33,,0,0,Louisville City
Wesley Charpie,USA,DF,31,4.6,0,2,0,0.0,0.44,0.0,0.0,,,0,0,Louisville City
Sam Gleadle, ENG,FW,28,2.4,0,0,0,,0.0,0.0,,,,0,0,Louisville City
Amadou Dia,USA,MF,30,2.3,0,1,1,100.0,0.43,0.43,0.0,0.0,,0,0,Louisville City
Niall McCabe,USA,MF,33,2.3,0,3,0,0.0,1.32,0.0,0.0,,,0,0,Louisville City
